Estimate summary
Upfront cost,Monthly cost,Total 12 months cost,Currency
0,18918.47,227021.64,USD
,,* Includes upfront cost


Detailed Estimate
Group hierarchy,Region,Description,Service,Upfront,Monthly,First 12 months total,Currency,Status,Configuration summary
My Estimate,US East (N. Virginia),,Amazon Route 53,0,183,2196.00,USD,,"Hosted Zones (1), Number of Elastic Network Interfaces (2)"
My Estimate,US East (N. Virginia),,Amazon EC2 ,0,1004.48,12053.76,USD,,"Tenancy (Shared Instances), Operating system (Linux), Workload (Consistent, Number of instances: 4), Advance EC2 instance (m5a.2xlarge), Pricing strategy (On-Demand Utilization: 100 %Utilized/Month), Enable monitoring (disabled), DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),,VPN Connection,0,146,1752.00,USD,,"Working days per month (22), Number of Site-to-Site VPN Connections (4)"
My Estimate,US East (N. Virginia),,Network Address Translation (NAT) Gateway,0,65.88,790.56,USD,,Number of NAT Gateways (2)
My Estimate,US East (N. Virginia),,Amazon RDS for MySQL,0,17381.785,208581.42,USD,,"Storage for each RDS instance (General Purpose SSD (gp2)), Storage amount (1 GB), Quantity (8), Instance type (db.m5.4xlarge), Utilization (On-Demand only) (100 %Utilized/Month), Deployment option (Multi-AZ), Pricing strategy (OnDemand), Additional backup storage (1 GB), Total Size of Backup Processed for Export (GB) (1 per month)"
My Estimate,US East (N. Virginia),,AWS Data Transfer,0,0,0.00,USD,,"DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month), DT Intra-Region: (0 TB per month)"
My Estimate,US East (N. Virginia),,S3 Standard,0,70.66,847.92,USD,,S3 Standard storage (3 TB per month)
My Estimate,US East (N. Virginia),,Data Transfer,0,0,0.00,USD,,"DT Inbound: Not selected (0 TB per month), DT Outbound: Not selected (0 TB per month)"
My Estimate,US East (N. Virginia),,Application Load Balancer,0,66.66,799.92,USD,,Number of Application Load Balancers (4)
My Estimate,US East (N. Virginia),,Amazon Elastic IP,0,0,0.00,USD,,"Number of EC2 instances (6), Number of EIPs per instance (1)"



Acknowledgement
"* AWS Pricing Calculator provides only an estimate of your AWS fees and doesn't include any taxes that might apply. Your actual fees depend on a variety of factors, including your actual usage of AWS services."
"* Amazon RDS for MySQL: The monthly cost has increased from 4696.28 USD to 17381.79 USD. The total 12 months cost is now 208581.42 USD. The Utilization of RDS instances has been increased from 50 to 100. The Quantity of RDS instances has been increased from 4 to 8."
"* VPN Connection: The monthly cost has increased from 73 USD to 146 USD. The total 12 months cost is now 1752.00 USD. The number of Site-to-Site VPN Connections has been doubled from 2 to 4."
